column1,column2
2005-present,R&B/Hip Hop
1990-2005,R&B Songs and Tracks
1982-90,Black Singles
1969-82,Soul Singles
1949-63<br/>1965-69,Rhythm and Blues Singles
1946-49,Race Records
1942-46,The Harlem Hit Parade
